id, pred
0, 6
1, 1
2, 4
3, 1
4, 9
5, 7
6, 5
7, 4
8, 9
9, 2
10, 6
11, 2
12, 3
13, 0
14, 6
15, 5
16, 1
17, 6
18, 6
19, 0
20, 4
21, 0
22, 3
23, 3
24, 5
25, 7
26, 5
27, 3
28, 5
29, 4
30, 6
31, 2
32, 9
33, 4
34, 0
35, 1
36, 0
37, 0
38, 9
39, 1
40, 3
41, 1
42, 6
43, 2
44, 2
45, 3
46, 2
47, 8
48, 6
49, 7
50, 7
51, 7
52, 2
53, 4
54, 0
55, 9
56, 3
57, 9
58, 5
59, 0
60, 8
61, 7
62, 8
63, 9
64, 6
65, 8
66, 8
67, 4
68, 6
69, 8
70, 9
71, 0
72, 0
73, 4
74, 6
75, 8
76, 2
77, 5
78, 0
79, 2
80, 4
81, 0
82, 1
83, 4
84, 3
85, 5
86, 4
87, 2
88, 9
89, 2
90, 2
91, 2
92, 7
93, 9
94, 4
95, 5
96, 9
97, 4
98, 8
99, 3
100, 1
101, 1
102, 9
103, 2
104, 8
105, 7
106, 9
107, 7
108, 7
109, 4
110, 7
111, 7
112, 0
113, 2
114, 3
115, 9
116, 4
117, 7
118, 6
119, 0
120, 5
121, 5
122, 2
123, 5
124, 1
125, 5
126, 6
127, 8
128, 5
129, 2
130, 9
131, 8
132, 2
133, 8
134, 1
135, 8
136, 6
137, 7
138, 3
139, 7
140, 8
141, 6
142, 6
143, 9
144, 2
145, 0
146, 7
147, 4
148, 0
149, 1
150, 3
151, 5
152, 7
153, 8
154, 0
155, 7
156, 5
157, 1
158, 2
159, 2
160, 6
161, 3
162, 8
163, 2
164, 2
165, 7
166, 8
167, 3
168, 1
169, 0
170, 4
171, 0
172, 7
173, 7
174, 7
175, 3
176, 6
177, 8
178, 2
179, 7
180, 9
181, 8
182, 2
183, 9
184, 1
185, 3
186, 0
187, 6
188, 3
189, 7
190, 4
191, 2
192, 3
193, 6
194, 7
195, 7
196, 5
197, 0
198, 8
199, 1
200, 0
201, 0
202, 0
203, 4
204, 2
205, 2
206, 2
207, 6
208, 4
209, 1
210, 7
211, 4
212, 3
213, 9
214, 8
215, 2
216, 7
217, 5
218, 4
219, 6
220, 2
221, 6
222, 3
223, 3
224, 2
225, 4
226, 2
227, 9
228, 6
229, 9
230, 3
231, 2
232, 8
233, 8
234, 2
235, 0
236, 8
237, 0
238, 1
239, 1
240, 6
241, 5
242, 0
243, 7
244, 3
245, 0
246, 8
247, 6
248, 8
249, 7
250, 6
251, 0
252, 0
253, 9
254, 6
255, 7
256, 0
257, 6
258, 3
259, 4
260, 5
261, 6
262, 0
263, 0
264, 3
265, 9
266, 8
267, 5
268, 9
269, 0
270, 6
271, 5
272, 3
273, 5
274, 8
275, 3
276, 2
277, 6
278, 7
279, 9
280, 0
281, 1
282, 3
283, 8
284, 6
285, 5
286, 8
287, 8
288, 1
289, 9
290, 3
291, 9
292, 1
293, 5
294, 3
295, 4
296, 3
297, 0
298, 7
299, 9
300, 4
301, 1
302, 3
303, 4
304, 5
305, 6
306, 2
307, 5
308, 3
309, 6
310, 7
311, 6
312, 9
313, 8
314, 2
315, 2
316, 6
317, 9
318, 7
319, 8
320, 6
321, 2
322, 3
323, 8
324, 7
325, 6
326, 2
327, 2
328, 3
329, 0
330, 4
331, 1
332, 0
333, 9
334, 8
335, 7
336, 7
337, 6
338, 8
339, 0
340, 8
341, 7
342, 7
343, 8
344, 1
345, 1
346, 6
347, 2
348, 3
349, 8
350, 7
351, 4
352, 5
353, 4
354, 7
355, 0
356, 0
357, 5
358, 4
359, 1
360, 2
361, 7
362, 3
363, 0
364, 5
365, 8
366, 0
367, 0
368, 1
369, 3
370, 4
371, 7
372, 8
373, 9
374, 0
375, 2
376, 3
377, 7
378, 2
379, 0
380, 1
381, 6
382, 2
383, 6
384, 7
385, 8
386, 8
387, 2
388, 4
389, 0
390, 4
391, 2
392, 5
393, 8
394, 5
395, 4
396, 6
397, 7
398, 8
399, 3
400, 3
401, 9
402, 1
403, 1
404, 1
405, 7
406, 0
407, 5
408, 6
409, 3
410, 7
411, 3
412, 6
413, 4
414, 7
415, 8
416, 4
417, 7
418, 9
419, 7
420, 4
421, 9
422, 1
423, 8
424, 0
425, 3
426, 3
427, 8
428, 9
429, 7
430, 6
431, 3
432, 4
433, 0
434, 7
435, 2
436, 3
437, 4
438, 7
439, 1
440, 3
441, 9
442, 5
443, 7
444, 8
445, 4
446, 4
447, 1
448, 6
449, 4
450, 4
451, 3
452, 0
453, 2
454, 2
455, 2
456, 3
457, 0
458, 1
459, 6
460, 0
461, 7
462, 1
463, 4
464, 2
465, 2
466, 5
467, 3
468, 4
469, 8
470, 9
471, 7
472, 9
473, 8
474, 0
475, 1
476, 0
477, 2
478, 2
479, 4
480, 5
481, 4
482, 0
483, 8
484, 8
485, 0
486, 9
487, 0
488, 6
489, 8
490, 1
491, 5
492, 2
493, 6
494, 3
495, 9
496, 2
497, 1
498, 4
499, 4
500, 1
501, 8
502, 2
503, 0
504, 3
505, 7
506, 4
507, 1
508, 7
509, 5
510, 0
511, 3
512, 4
513, 0
514, 2
515, 2
516, 8
517, 9
518, 1
519, 5
520, 8
521, 2
522, 3
523, 3
524, 9
525, 3
526, 7
527, 0
528, 9
529, 0
530, 0
531, 6
532, 0
533, 2
534, 9
535, 0
536, 1
537, 9
538, 0
539, 2
540, 3
541, 8
542, 3
543, 6
544, 4
545, 0
546, 8
547, 1
548, 5
549, 0
550, 0
551, 9
552, 7
553, 9
554, 4
555, 7
556, 0
557, 3
558, 1
559, 5
560, 5
561, 7
562, 8
563, 7
564, 4
565, 0
566, 9
567, 3
568, 1
569, 4
570, 1
571, 7
572, 0
573, 1
574, 2
575, 0
576, 6
577, 1
578, 6
579, 2
580, 9
581, 3
582, 2
583, 9
584, 3
585, 5
586, 7
587, 3
588, 8
589, 8
590, 8
591, 7
592, 5
593, 2
594, 0
595, 8
596, 9
597, 7
598, 2
599, 5
600, 2
601, 9
602, 3
603, 1
604, 6
605, 2
606, 3
607, 7
608, 0
609, 6
610, 2
611, 5
612, 2
613, 7
614, 3
615, 1
616, 2
617, 3
618, 1
619, 0
620, 3
621, 5
622, 9
623, 6
624, 7
625, 0
626, 6
627, 3
628, 2
629, 7
630, 4
631, 9
632, 5
633, 7
634, 0
635, 5
636, 1
637, 8
638, 4
639, 5
640, 2
641, 1
642, 0
643, 7
644, 7
645, 0
646, 0
647, 5
648, 4
649, 7
650, 7
651, 5
652, 1
653, 2
654, 9
655, 7
656, 4
657, 6
658, 7
659, 0
660, 9
661, 4
662, 1
663, 2
664, 5
665, 7
666, 1
667, 0
668, 8
669, 9
670, 4
671, 7
672, 9
673, 0
674, 9
675, 0
676, 2
677, 6
678, 5
679, 9
680, 9
681, 3
682, 0
683, 0
684, 0
685, 9
686, 2
687, 6
688, 1
689, 5
690, 5
691, 9
692, 5
693, 9
694, 5
695, 7
696, 9
697, 0
698, 4
699, 0
700, 1
701, 3
702, 2
703, 3
704, 4
705, 8
706, 4
707, 2
708, 1
709, 3
710, 0
711, 3
712, 3
713, 5
714, 0
715, 3
716, 9
717, 5
718, 4
719, 6
720, 9
721, 8
722, 1
723, 7
724, 8
725, 4
726, 4
727, 0
728, 0
729, 7
730, 1
731, 1
732, 5
733, 4
734, 0
735, 2
736, 5
737, 6
738, 7
739, 0
740, 3
741, 5
742, 2
743, 1
744, 8
745, 1
746, 8
747, 0
748, 0
749, 7
750, 2
751, 9
752, 7
753, 0
754, 5
755, 9
756, 4
757, 6
758, 8
759, 7
760, 3
761, 9
762, 6
763, 3
764, 8
765, 9
766, 7
767, 0
768, 3
769, 1
770, 9
771, 4
772, 5
773, 9
774, 5
775, 3
776, 7
777, 8
778, 8
779, 0
780, 0
781, 2
782, 8
783, 0
784, 4
785, 3
786, 8
787, 2
788, 2
789, 0
790, 3
791, 1
792, 2
793, 4
794, 2
795, 9
796, 1
797, 9
798, 7
799, 2
800, 4
801, 7
802, 8
803, 7
804, 6
805, 7
806, 8
807, 0
808, 4
809, 6
810, 9
811, 7
812, 9
813, 6
814, 8
815, 4
816, 1
817, 0
818, 0
819, 0
820, 8
821, 7
822, 0
823, 1
824, 0
825, 1
826, 4
827, 3
828, 3
829, 1
830, 5
831, 6
832, 2
833, 1
834, 3
835, 5
836, 7
837, 0
838, 5
839, 2
840, 7
841, 1
842, 4
843, 5
844, 8
845, 1
846, 6
847, 8
848, 8
849, 5
850, 9
851, 8
852, 4
853, 2
854, 5
855, 1
856, 2
857, 5
858, 7
859, 9
860, 8
861, 0
862, 3
863, 4
864, 0
865, 5
866, 7
867, 2
868, 2
869, 2
870, 3
871, 8
872, 6
873, 0
874, 1
875, 3
876, 4
877, 0
878, 7
879, 2
880, 4
881, 5
882, 9
883, 6
884, 9
885, 3
886, 3
887, 4
888, 4
889, 1
890, 0
891, 4
892, 1
893, 7
894, 8
895, 7
896, 4
897, 2
898, 2
899, 1
900, 2
901, 7
902, 9
903, 4
904, 0
905, 8
906, 5
907, 1
908, 2
909, 3
910, 7
911, 8
912, 9
913, 7
914, 9
915, 5
916, 0
917, 5
918, 8
919, 5
920, 3
921, 0
922, 0
923, 4
924, 2
925, 4
926, 1
927, 1
928, 6
929, 7
930, 1
931, 8
932, 8
933, 6
934, 3
935, 1
936, 0
937, 5
938, 5
939, 1
940, 5
941, 0
942, 6
943, 3
944, 0
945, 9
946, 9
947, 3
948, 3
949, 2
950, 0
951, 4
952, 6
953, 7
954, 2
955, 7
956, 6
957, 3
958, 4
959, 3
960, 7
961, 9
962, 0
963, 8
964, 1
965, 4
966, 3
967, 3
968, 8
969, 3
970, 5
971, 7
972, 4
973, 3
974, 4
975, 2
976, 6
977, 1
978, 5
979, 2
980, 6
981, 1
982, 4
983, 4
984, 2
985, 7
986, 0
987, 6
988, 6
989, 0
990, 2
991, 8
992, 7
993, 4
994, 8
995, 7
996, 3
997, 0
998, 4
999, 1
1000, 6
1001, 0
1002, 9
